Seccion;Manzana;Parcela;SMP;Expediente;Nomenclacion par;Fecha de registro;Direccion;Comuna 1;Codigo postal;Codigo postal argentino;Tipo obra;Superficie (m2);Direccion normalizada;Lon;Lat;Calle;Altura;Barrio;Comuna;
33;84;48;033-084-048;26345534/16;17-33-84-48;2017-10-02;A.CABRERA 5950/54;Comuna 14;1414;C1414BHL;Obra Media;1680.81;CABRERA, JOSE A. 5950;-58.44185354;-34.58302632;CABRERA, JOSE A.;5950;Palermo;14;
 ; ; ; - - ;29762057/17;;2018-06-13;A.CARRANZA 1530;Comuna 14;1414;C1414COP;Obra Menor;151.27;CARRANZA, ANGEL JUSTINIANO 1530;-58.43996287;-34.58387662;CARRANZA, ANGEL JUSTINIANO;1530;Palermo;14;
 ; ; ; - - ;28889293/17;;2018-05-15;A.CARRANZA 2951;Comuna 11;1417;C1417HFM;Obra Media;2060.59;CARRANZA, ADOLFO P. 2951;-58.48510382;-34.6081096;CARRANZA, ADOLFO P.;2951;Villa Del Parque;11;
 ; ; ; - - ;14199720/18;;2018-06-04;A.CARRANZA 3179;Comuna 11;1417;C1417HFQ;Obra Media;1851.96;CARRANZA, ADOLFO P. 3179;-58.48769229;-34.60952973;CARRANZA, ADOLFO P.;3179;Villa Del Parque;11;
 ; ; ; - - ;6276060/14;;2018-06-26;A.DE FIGUEROA 1332;Comuna 14;1180;C1180AAZ;Obra Mayor;2607.45;ACUÑA DE FIGUEROA, FRANCISCO 1332;-58.42149698;-34.59603277;ACUÑA DE FIGUEROA, FRANCISCO;1332;Palermo;14;
19;7;14;019-007-014;22955490/15;18-19-7-14;2018-09-13;A.DE FIGUEROA 1355/57;Comuna 14;1180;C1180AAY;Obra Media;1882.89;ACUÑA DE FIGUEROA, FRANCISCO 1355;-58.42132118;-34.59575989;ACUÑA DE FIGUEROA, FRANCISCO;1355;Palermo;14;
19;42;15;019-042-015;24072002/18;18-19-42-15;2018-11-13;A.DE FIGUEROA 1587/89;Comuna 14;1180;C1180ABC;Obra Media;1529.94;ACUÑA DE FIGUEROA, FRANCISCO 1587;-58.42078581;-34.59310068;ACUÑA DE FIGUEROA, FRANCISCO;1587;Palermo;14;
 ; ; ; - - ;27894778/17;;2018-03-08;A.DE FIGUEROA 1664;Comuna 14;1180;C1180ABF;Obra Media;999.83;ACUÑA DE FIGUEROA, FRANCISCO 1664;-58.42070521;-34.59208745;ACUÑA DE FIGUEROA, FRANCISCO;1664;Palermo;14;
7;17;69044;007-017-069.044;30100542/17;7-017-069.044;2018-10-10;A.DE FIGUEROA 436/38;Comuna 5;1180;C1180AAH;Obra Media;1283.02;ACUÑA DE FIGUEROA, FRANCISCO 436;-58.4228552;-34.60548132;ACUÑA DE FIGUEROA, FRANCISCO;436;Almagro;5;
17;79;13;017-079-013;23280871/18;7-17-79-13;2018-10-31;A.DE FIGUEROA 455/59;Comuna 5;1180;C1180AAG;Obra Media;1529.36;ACUÑA DE FIGUEROA, FRANCISCO 455;-58.42276377;-34.60525236;ACUÑA DE FIGUEROA, FRANCISCO;455;Almagro;5;
44;87;15;044-087-15;17515395/16;1-44-87-15/16;2017-11-30;A.DIAZ 2080/100;Comuna 7;1406;C1406IBP;Obra Media;1302.09;DIAZ, AVELINO 2080;-58.4469107;-34.64035154;DIAZ, AVELINO;2080;Parque Chacabuco;7;
44;87;16;044-087-16;17515395/16;1-44-87-15/16;2017-11-30;A.DIAZ 2080/100;Comuna 7;1406;C1406IBP;Obra Media;1302.09;DIAZ, AVELINO 2080;-58.4469107;-34.64035154;DIAZ, AVELINO;2080;Parque Chacabuco;7;
44;56;13;044-056-013;3196412/16;1-44-56-13;2019-03-11;A.DIAZ 2254/58;Comuna 7;1406;C1406IBT;Obra Menor;500;DIAZ, AVELINO 2254;-58.44864012;-34.64190032;DIAZ, AVELINO;2254;Flores;7;
59;108;018a;059-108-018a;14767328/18;15-59-108-18a;2018-11-15;A.DICKMAN 981/99;Comuna 15;1416;C1416EHA;Micro Obra;;DICKMAN, ADOLFO, DR. 981;-58.46256116;-34.5971182;DICKMAN, ADOLFO, DR.;981;Paternal;15;
40;17A;17;040-17A-017;17827856/18;6-40-17A-17;2018-09-27;A.FERRARI 957;Comuna 6;1424;C1424BTA;Obra Menor;183.28;FERRARI, ANTONINO M. 957;-58.4410713;-34.62572135;FERRARI, ANTONINO M.;957;Caballito;6;
32;10;019b;032-010-019b;16028236/18;02-32-10-19b;2019-04-10;A.FERREIRA 3749;Comuna 4;1437;C1437ITE;Obra Media;1840.76;FERREYRA, ANDRES 3749;-58.41447057;-34.64453149;FERREYRA, ANDRES;3749;Nueva Pompeya;4;
32;9;7;032-009-007;13710113/18;2-32-009-007;2019-05-13;A.FERREYRA 3754/56;Comuna 4;1437;C1437ITF;Obra Menor;408.87;FERREYRA, ANDRES 3754;-58.414821;-34.64455358;FERREYRA, ANDRES;3754;Nueva Pompeya;4;
59;33;7;059-033-007;14618870/18;15-59-33-7;2018-09-27;A.FIGUEROA 1852;Comuna 11;1416;C1416DQD;Obra Menor;200.79;FIGUEROA, D. APOLINARIO, CORONEL 1852;-58.46185176;-34.61365853;FIGUEROA, D. APOLINARIO, CORONEL;1852;Villa Gral. Mitre;11;
